epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1601,0.67814,5.34614,1.01729,0.61857,0.93359,0.67173,0.60685,0.47638,3.38354,0.85716,0.00018337,0.00018337,0.00018337
2,84.0536,0.66441,1.97272,0.96436,0.78945,0.88462,0.84654,0.68864,0.82933,3.45208,1.10328,0.000377084,0.000377084,0.000377084
3,102.368,0.64511,1.26489,0.97846,0.90705,0.67783,0.82177,0.64828,0.96905,3.20859,1.329,0.000564196,0.000564196,0.000564196
4,119.588,0.69437,0.86351,1.00599,0.94263,0.96568,0.98111,0.78316,0.699,2.23978,1.06747,0.000744707,0.000744707,0.000744707
5,136.026,0.65493,0.63676,0.98614,0.85209,0.9375,0.96167,0.84082,0.62625,4.56018,1.0416,0.000918617,0.000918617,0.000918617
6,153.6,0.68667,0.69354,0.99513,0.33918,0.39692,0.44305,0.32475,1.03893,9.70853,1.7249,0.00108593,0.00108593,0.00108593
7,168.534,0.69074,0.63066,1.01626,0.10895,0.62019,0.1506,0.09439,1.22459,20.8003,1.91402,0.00124663,0.00124663,0.00124663
8,186.224,0.705,0.595,1.04098,0.53401,0.83338,0.51506,0.41314,0.90399,2.58847,1.25645,0.00140074,0.00140074,0.00140074
9,203.127,0.65581,0.47668,0.97826,0.26058,0.77404,0.26879,0.1778,0.85498,12.0335,1.26971,0.00144696,0.00144696,0.00144696
10,221.054,0.61092,0.48732,0.97039,0.88351,1,0.995,0.84376,0.65917,3.10048,1.13042,0.00141945,0.00141945,0.00141945
11,236.802,0.64959,0.50858,0.99526,0.74387,0.96914,0.86495,0.71977,0.65954,4.37878,1.16739,0.00139195,0.00139195,0.00139195
12,253.85,0.66293,0.59452,1.01056,0.87028,0.96502,0.995,0.88243,0.55809,2.90647,0.99327,0.00136444,0.00136444,0.00136444
13,270.78,0.5862,0.43881,0.97042,0.9845,1,0.995,0.89011,0.51954,0.82065,0.96135,0.00133693,0.00133693,0.00133693
